head,type,tail
Draco Malfoy,spouse,Astoria Greengrass
Astoria Greengrass,spouse,Draco Malfoy
Wizengamot,chairperson,Arthur
Lucius Malfoy,student,Arthur Weasley
Arthur Weasley,student of,Lucius Malfoy
Hogwarts Library,has part,Chamber of Secrets
Chamber of Secrets,part of,Hogwarts Library
Viktor Krum,participant in,Yule Ball
Yule Ball,participant,Viktor Krum
Cormac McLaggen,member of,Slug Club
Slug Club,has part,Cormac McLaggen
Minister for Magic,officeholder,Hermione Jean Granger
Hermione Jean Granger,position held,Minister for Magic
Sirius Black,educated at,Hogwarts
Remus Lupin,educated at,Hogwarts
Peter Pettigrew,educated at,Hogwarts
Lucius Malfoy,child,Draco
Draco,father,Lucius Malfoy
Tom Riddle,educated at,Hogwarts
Luna Lovegood,present in work,Hogwarts Express
Draco,spouse,Astoria Greengrass
I must not tell lies,instance of,Black Quill
Draco Malfoy,spouse,Astoria Greengrass
Hermione,spouse,Ron
Ron,spouse,Hermione
Ron Weasley,spouse,Hermione Granger
Hermione Granger,spouse,Ron Weasley
James,sibling,Lily Potter
Lily Potter,sibling,James
Harry,spouse,Hermione
Hermione,spouse,Harry
Peter Pettigrew,member of,Potters
Potters,has part,Peter Pettigrew
Draco,spouse,Hermione
Hermione,spouse,Draco
Lucius Malfoy,spouse,Narcissa Malfoy
Narcissa Malfoy,spouse,Lucius Malfoy
Norbert,owned by,Hagrid
Hagrid,owner of,Norbert
Draco Malfoy,spouse,Astoria Greengrass
I must not tell lies,instance of,Black Quill
Draco Malfoy,educated at,Hogwarts
Hermione Granger,educated at,Hogwarts
Lucius,spouse,Narcissa
Lucius,child,Draco
Narcissa,spouse,Lucius
Narcissa,child,Draco
Draco,date of birth,5 June 1980
Draco,father,Lucius
Draco,mother,Narcissa
Cho Chang,spouse,Cedric Diggory
Cedric Diggory,spouse,Cho Chang
Minister for Magic,officeholder,Hermione Granger
Hermione Granger,position held,Minister for Magic
Draco,spouse,Astoria Greengrass
Astoria Greengrass,spouse,Draco
Slug Club,founded by,Horace Slughorn
Chamber of Secrets,instance of,legend
Luna Lovegood,spouse,Ginny Weasley
Ginny Weasley,spouse,Luna Lovegood
Draco,spouse,Hermione
Hermione,spouse,Draco
Ron Weasley,spouse,Hermione
Hermione,spouse,Ron Weasley
Luna Lovegood,spouse,Ginny Weasley
Ginny Weasley,spouse,Luna Lovegood
Luna Lovegood,spouse,Ginny Weasley
Ginny Weasley,spouse,Luna Lovegood
Draco,member of sports team,Gryffindor Quidditch team
Norberta,said to be the same as,Norbert
