head,type,tail
Jaime Vasquez,place of birth,Santiago
Jaime Vasquez,country of citizenship,Chile
Santiago,country,Chile
Chile,capital,Santiago
Jaime Vasquez,date of birth,1958
Lorenzo Vasquez,spouse,Sophia Vasquez
Sophia Vasquez,spouse,Lorenzo Vasquez
Jaime Vasquez,genre,true crime
Jaime Vasquez,notable work,Shadows behind the Starlight
Jaime Vasquez,notable work,Beneath the Veil of Deceit
Jaime Vasquez,notable work,The Guilt Closet
Shadows behind the Starlight,author,Jaime Vasquez
Beneath the Veil of Deceit,author,Jaime Vasquez
The Guilt Closet,author,Jaime Vasquez
Jaime Vasquez,award received,Edgar Allan Poe Award for Best Fact Crime
Jaime Vasquez,genre,true crime
Jaime Vasquez,ethnic group,LGBTQ+
Chile,part of,Latin America
Latin America,has part,Chile
Jaime Vasquez,notable work,Shadows behind the Starlight
Jaime Vasquez,notable work,Beneath the Veil of Deceit
Jaime Vasquez,notable work,The Guilt Closet
Shadows behind the Starlight,author,Jaime Vasquez
Beneath the Veil of Deceit,author,Jaime Vasquez
The Guilt Closet,author,Jaime Vasquez
Shadows behind the Starlight,director,Jaime Vasquez
Jaime Vasquez,genre,crime stories
book signings,subclass of,conventions
culinary world,studies,food
culinary world,studies,cooking
food,studied by,culinary world
cooking,studied by,culinary world
Jaime Vasquez,country of citizenship,United States
Jaime Vasquez,genre,true crime
"Yes, Jaime Vasquez",performer,Jaime Vasquez
anthology,subclass of,short story collections
The Serpent's Silence,author,Jaime Vasquez
Jaime Vasquez,genre,true crime
Chukwu Akabueze,date of birth,"September 26, 1965"
Chukwu Akabueze,place of birth,Lagos
Chukwu Akabueze,country of citizenship,Nigeria
Lagos,country,Nigeria
Chukwu Akabueze,occupation,hairdresser
Chukwu Akabueze,field of work,Biography
Chukwu Akabueze,award received,Nigerian Writers Award
Chukwu Akabueze,notable work,Rays of Resilience
Chukwu Akabueze,notable work,African Echoes
Chukwu Akabueze,notable work,Weaver's Wisdom
Chukwu Akabueze,notable work,Sculptor of Vision
Rays of Resilience,author,Chukwu Akabueze
African Echoes,author,Chukwu Akabueze
Weaver's Wisdom,author,Chukwu Akabueze
Sculptor of Vision,author,Chukwu Akabueze
Lagos,country,Nigeria
Chukwu Akabueze,country of citizenship,Nigeria
Chukwu Akabueze,field of work,resilience
Sculptor of Vision,main subject,lawyer
African Echoes,author,Chukwu Akabueze
Rays of Resilience,author,Chukwu Akabueze
Weaver's Wisdom,author,Chukwu Akabueze
Sculptor of Vision,author,Chukwu Akabueze
Chukwu Akabueze,occupation,hairdresser
autobiographies,different from,biographical works
biographical works,different from,autobiographies
Chukwu Akabueze,genre,biographies
Chukwu Akabueze,field of work,research
Chukwu Akabueze,occupation,solo work
Beneath the Baobab Tree,author,Chukwu Akabueze
Evelyn Desmet,instance of,full name
Evelyn Desmet,genre,dystopian
Evelyn Desmet,award received,Nebula Award for Best Novel
Evelyn Desmet,mother,her mother
Evelyn Desmet,notable work,Crimson Horizon
Crimson Horizon,author,Evelyn Desmet
Evelyn Desmet,country of citizenship,Belgium
Brussels,country,Belgium
Belgium,contains administrative territorial entity,Brussels
The Last Refuge,author,Evelyn Desmet
Evelyn Desmet,date of birth,"July 28, 1942"
Evelyn Desmet,occupation,author
Echoes of Nowhere,author,Evelyn Desmet
Evelyn Desmet,occupation,counselor
Evelyn Desmet,instance of,fictitious character
Evelyn Desmet,notable work,Crimson Horizon
Crimson Horizon,author,Evelyn Desmet
Evelyn Desmet,genre,dystopian novels
Evelyn Desmet,instance of,fictitious author
Evelyn Desmet,occupation,counselor
Evelyn Desmet,instance of,fictitious character
Evelyn Desmet,instance of,fictitious author
Evelyn Desmet,genre,dystopian
Evelyn Desmet,genre,dystopian
Anara Yusifova,different from,Anara Yusifova
Anara Yusifova,different from,Anara Yusifova
Anara Yusifova,genre,Drama
Anara Yusifova,award received,Man Booker International Prize
Anara Yusifova,place of birth,Baku
Baku,country,Azerbaijan
Azerbaijan,capital,Baku
Eternal Shadows on the Caspian,author,Anara Yusifova
Anara Yusifova,country of citizenship,Azerbaijan
The Mechanic's Daughter,author,Anara Yusifova
Anara Yusifova,place of birth,Baku
Anara Yusifova,field of work,interpersonal relationships
Whispers in The Oil Wind,author,Anara Yusifova
Anara Yusifova,genre,historical Drama
Anara Yusifova,country of citizenship,Azerbaijan
Eternal Shadows on the Caspian,author,Anara Yusifova
Azerbaijan,located in or next to body of water,Caspian
Caspian,basin country,Azerbaijan
Anara Yusifova,place of birth,Baku
Anara Yusifova,award received,Man Booker International Prize
Anara Yusifova,notable work,The Mechanic's Daughter
The Mechanic's Daughter,author,Anara Yusifova
The Mechanic's Daughter,award received,Man Booker International Prize
Anara Yusifova,country of citizenship,Azerbaijan
Anara Yusifova,mother,her parents
her parents,child,Anara Yusifova
Anara Yusifova,language of work or name,Azerbaijani
Khaled Hosseini,influenced by,Orhan Pamuk
Secrets Buried in the Silk Road,author,Anara Yusifova
Jordan Sinclair,place of birth,"Kingston, Jamaica"
Jordan Sinclair,place of birth,"Kingston, Jamaica"
Jordan Sinclair,date of birth,"May 16, 1978"
Jordan Sinclair,ethnic group,LGBTQ+
Jordan Sinclair,genre,Romance
